Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna,C127629
"C1, C3",0402,2,1p2,C76899
"C10, C14, C22, C46, C47, C48, C6, C8, C9",0402,9,0u1,C307331
"C11, C24, C28, C29, C32, C33, C4, C40, C41, C42, C43, C54, C55, C56, C57, C62, C7",0402,17,1u,C52923
"C12, C13",0402,2,12p,C1547
"C15, C16, C17, C18, C19, C20, C5",0402,7,10u,C15525
"C21, C23, C44, C45, C50, C51, C52, C53",0805,8,10u,C440198
"C25, C26",CP_Elec_8x10,2,220u,C136294
"C27, C30, C31, C34, C35, C36, C37, C38, C39, C49",0402,10,220n,C16772
"C58, C59, C60, C61",0402,4,4u7,C23733
D1,D_SOD-123,1,BZT52B3V3,C19077392
"D10, D6, D8",Diode_DFN1006,3,H5VU10U,C22395519
"D11, D13",0805,2,RED,NCD0805R1
D12,D_SMB,1,D_TVS,C2925441
"D14, D9",D_SMA,2,D_Schottky,C22452
"D2, D3, D5",0805,3,GREEN,C2297
"D4, D7",0603,2,WHITE,C2290
J1,microSD_Hanbo_TF012,1,Micro_SD_Card_Det1,C410350
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
J5,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,AudioJack4,C521460
"J6, J7",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
L1,0402,1,6n8,C77110
L10,L_Sunlord_MWSA0402S,1,3u3,C167207
"L3, L4",0402,2,2n7,C77108
L5,0402,1,24n,C167472
"L6, L7, L8, L9",L_Vishay_IHLP-4040,4,10u,C845065
MK1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Microphone,
"Q1, Q2",Vishay_PowerPAK_1212-8_Single,2,Q_NMOS,C111309
R1,0402,1,0,C17168
"R10, R11, R12, R18, R19, R7, R8, R9",0402,8,22,C25092
"R13, R14, R16, R17, R2, R20, R22, R3, R34, R35, R4, R40, R44, R45, R47, R5, R6",0402,17,10k,C25744
R15,0402,1,470,C25117
"R21, R42",0402,2,1k,C11702
"R23, R24, R25, R26, R27, R28, R29, R30, R36, R43",0402,10,5k1,C25905
R31,0402,1,2k2,C25879
R33,0603,1,5k6,C23189
R37,0402,1,100k,C25741
R38,0603,1,3k6,C22980
R39,0402,1,52k3,C26982
R41,0402,1,2k4,C25882
"R46, R48",0402,2,5k6,C25908
SW1,SW_SPDT_Shouhan_MSK12C02,1,SW_SPDT,C431540
"SW2, SW3",SW_SPST_Omron_B3F-40xx,2,SW_Push,C84931
"SW5, SW6",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
SW7,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,C370970
"TP10, TP11, TP13, TP14, TP19, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Keystone_5015_Micro_Mini,12,TestPoint,C2906768
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3FN8,C3013940
"U10, U7, U8, U9",DFN-6-1EP_2x2mm_P0.5mm_ST,4,LDL212PVR,C2969922
U3,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,TLV320AIC3100,C478458
U4,HTSSOP-32-1EP_6.1x11mm_P0.65mm_EP5.2x11mm_Mask4.11x4.36mm_ThermalVias,1,TPA3118D2,C46497
U5,SOT-583-8,1,TPS62933O,C6290372
U6,SOT-23-THIN-8,1,LM74502,C3236215
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
